Eil.  Nr.,Seniūnija,,Objektai
1,Žaliakalnio,Basanavičiaus g. 43B,1 krepšinio lenta su lanku ir tinkleliu
2,Žaliakalnio,Savanorių pr. 204,"2 krepšinio stovai,   2 krepšinio lentos su lanku ir tinkleliu"
3,Žaliakalnio,Kalniečių g. 180,2 krepšinio lentos su lankais ir tinkleliais
4,Vilijampolės,Lampėdžių g. 10,1 krepšinio lenta su lanku ir tinkleliu
5,Vilijampolės,"Demokratų g. 38, 40","1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
6,Vilijampolės,"Raudondvario pl. 190, 192","2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
7,Vilijampolės,Tilžės g. 30,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
8,Vilijampolės,Raudondvario pl. 184,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
9,Centro,Kęstučio g. 55/Karaliaus Mindaugo pr. 34,2 krepšinio lankai su tinkleliais
10,Centro,Santakos parke,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
11,Šančių,Plieno g. 1,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
12,Šančių,Prancūzų g. 6,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
13,Šančių,Kranto al. 52 ir 54,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
14,Šančių,Žarėnų g. 17,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
15,Šančių,Sandėlių g. 7,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
16,Šančių,Ašmenos 2-oji g. 25,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
17,Petrašiūnų,T. Masiulio g. 17,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
18,Petrašiūnų,"Ekskavatorininkų g. 3, 1, 1A, 3A, 5A","1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
19,Petrašiūnų,"R. Kalantos g. 42, 44, 44B","1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
20,Petrašiūnų,R. Kalantos g. 139 ir 145,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
21,Gričiupio,Kovo 11-osios g. 31 ir 41,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
22,Gričiupio,Kovo 11-osios g. 42 ir 44,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
23,Gričiupio,Pašilės g. 27 ir Gričiupio g. 11 ir 13,2 krepšinio lankai ir tinkleliai
24,Šilainių,Kuršių g. 6 ir 14,"3 krepšinio stovai,   3 krepšinio lentos su lankais ir tinkleliais"
25,Šilainių,Kuršių g. 18 ir 26,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
26,Šilainių,Kuršių g. 32 ir 40,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
27,Šilainių,Šarkuvos g. 8 ir 10,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
28,Šilainių,"Rasytės g. 2, 12 ir 18","2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
29,Šilainių,Rasytės g. 30 ir 34,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
30,Šilainių,Baltų g.  67,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
31,Šilainių,Rasytės g. 30 ir 34,1 krepšinio lankas ir tinklelis
32,Šilainių,Rasytės g. 42 ir 46,"4 krepšinio stovai,   4 krepšinio lentos su lankais ir tinkleliais"
33,Šilainių,Rasytės g. 7 / 9,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
34,Šilainių,Vėtrungės g. 7 ir 9,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
35,Šilainių,J. Grušo g. 2,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
36,Šilainių,Rietavo g. 1 ir 3,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
37,Šilainių,Baltų pr.73 ir 77,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
38,Šilainių,Baltų pr. 139,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
39,Šilainių,Baltijos g. 70 ir 78,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
40,Šilainių,Baltijos g. 88 ir 94,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
41,Eigulių,"K. Škirpos g. 2 ir P.Plechavičiaus g. 25, 29 ir",1 krepšinio lankas ir tinklelis
42,Eigulių,"Savanorių pr. 397 ir 399 ir P. Lukšio g. 8, 10","2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
43,Eigulių,"Ukmergės g. 8, 12 ir S. Žukausko g. 5","2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
44,Eigulių,Ukmergės g. 26,1 krepšinio lenta su lanku ir tinkleliu
45,Eigulių,Ukmergės g. 26,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
46,Eigulių,Ukmergės g. 23 ir Sukilėlių pr. 106,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
47,Eigulių,Ukmergės g. 36,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
48,Eigulių,K. Škirpos g. 2,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
49,Eigulių,"Ašigalio g. 19, 23 ir 27","2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
50,Eigulių,Geležinio Vilko g. 20,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
51,Eigulių,Geležinio Vilko g. 1 ir 1A,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
52,Panemunės,Vaidoto g. 11,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
53,Panemunės,Vilkų g. / Šernų g.,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
54,Panemunės,Mažosios g. 9 ir Kampiškių g. 3,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
55,Panemunės,Plento g. 24,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
56,Panemunės,Pušų g.,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
57,Aleksoto,Lakūnų pl. 44,Žaidimų aikštelė
58,Aleksoto,Bitininkų g.  31,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
59,Aleksoto,Lakūnų pl. šalia esančios tinklinio aikštelės,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
60,Aleksoto,Veiverių g. 132,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
61,Aleksoto,Piliakalnio g. 9,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
62,Aleksoto,Naugardiškių parke  (1 trikrepšis),"1 krepšinio stovai,   3 krepšinio lentos su lankais ir tinkleliais"
63,Aleksoto,Dvarų g. 49,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
64,Dainavos,Pramonės pr. 73 ir 77,2 krepšinio lankai ir tinkleliai
65,Dainavos,V. Krėvės pr. 117,2 krepšinio lankai ir tinkleliai
66,Dainavos,V. Krėvės pr. 9A ir Partizanų g. 38,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
67,Dainavos,V. Krėvės pr. 75 ir 77,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
68,Dainavos,Savanorių pr. 300,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
69,Dainavos,Savanorių pr. 370 ir 372,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
70,Dainavos,Taikos pr. 87,"1 krepšinio stovas,   1 krepšinio lenta su lanku ir tinkleliu"
71,Dainavos,Pramonės pr. 35,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
72,Dainavos,Draugystės parke,"2 krepšinio stovai,   2 krepšinio lentos su lankais ir tinkleliais"
