Nr.,Seniūnija,Adresas,Treniruoklių skaičius,Komentaras
1,Šilainių,Baltų g. 69,13,"Santarvės parke, nėra pagrindų"
2,Šilainių,"Kuršių g. 6, 8, 14",13,
3,Šilainių,"Rasytės g. 30, 32, 34, 36",6,žaliame plote
4,Šilainių,Romainių g. 15,4,
5,Dainavos,Draugystės parke,13,nėra pagrindų
6,Dainavos,Dainavos parke,8,nėra pagrindų
7,Dainavos,Pramonės pr. 20,4,
8,Eigulių,Kalniečių parke,13,
9,Eigulių,Ašigalio g. 28,13,
10,Eigulių,Kleboniškio miškas,3,nėra pagrindų
11,Eigulių,G. Vilko g. 20,13,
12,Žaliakalnio,P. Dovydaičio g./Darbininkų g.,7,"A. Samuolio Samulevičiaus skveras, nėra pagrindų"
13,Žaliakalnio,S. Lozoraičio g. 13,6,"prie KTU Inžinerijos Licėjaus, nėra pagrindų"
14,Žaliakalnio,Tvirtovės al. 35,5,
15,Žaliakalnio,Savanorių pr. 204,5,"prie krepšinio aikštelės, nėra pagrindų"
16,Žaliakalnio,Ąžuolyno parkas,13,
17,Vilijampolės,Sąjungos aikštė,13,nėra pagrindų
18,Vilijampolės,Lampėdžiuose,13,
19,Vilijampolės,Raudondvario pl. 161A,10,nėra pagrindų
20,Vilijampolės,Ežero g.,4,nėra pagrindų
21,Vilijampolės,Neries kr. parke,6,
22,Aleksoto,Antakalnio parke,8,
23,Aleksoto,Naugardiškio parke,5,
24,Aleksoto,Universiteto g./Maisto g.,4,
25,Aleksoto,Piliakalnio g. 9,3,nėra pagrindų
26,Aleksoto,"Vinčų g. 5,7",5,
27,Petrašiūnų,Masiulio g. 17,13,ant asfalto
28,Petrašiūnų,Kauno marių pirmame paplūdimyje,13,"Kauno marių pirmame paplūdimyje, nėra pagrindų"
29,Petrašiūnų,Marių g. 37,6,"Palemono vid. mokykloje, nėra pagrindų"
30,Petrašiūnų,Guobų g. 99,13,nėra pagrindų
31,Petrašiūnų,Gimbutienės g.,4,"priešais kapines, nėra pagrindų"
32,Petrašiūnų,Armatūrininkų g. 1,3,nėra pagrindų
33,Centro,Santakos parke ,12,
34,Centro,Nemuno saloje,13,
35,Gričiupio,Kovo 11-osios parke,13,
36,Gričiupio,Biržiškų g. / Gravrokų g.,7,
37,Šančių,Verkių g. 48,7,
38,Šančių,Kranto al. 52,6,
39,Šančių,Vokiečių g. 164,7,"Nemuno kr., nėra pagrindų."
40,Panemunės,"A. Smetonos al. 4, Kaunas 45324",13,
41,Panemunės,Vaišvydo g. 28,4,"Vaišvydavos mok. teritorijoje, nėra pagrindų"
42,Panemunės,Vijūnų g. 2,4,nėra pagrindų.
